UserID,CodeID,Duration,TimeTotal,Correct,Answer,TimeStamp,rank
3,52,51649,51649,T,2,"2016-03-29 18:38:20",25
2,45,49889,49889,F,19,"2016-03-29 18:38:30",54
1,20,12978,12978,T,"6 -1","2016-03-29 18:38:33",67
6,33,41248,41248,F,"9 1","2016-03-29 18:38:40",30
1,105,15601,15601,F,013,"2016-03-29 18:38:49",68
2,57,20719,20719,T,false,"2016-03-29 18:38:51",55
4,103,43613,43613,F,error,"2016-03-29 18:38:59",45
1,49,13998,13998,F,3,"2016-03-29 18:39:03",69
6,124,23208,23208,F,4,"2016-03-29 18:39:04",31
4,56,25608,25608,T,true,"2016-03-29 18:39:25",46
3,88,67565,67565,F,8,"2016-03-29 18:39:28",26
1,80,27592,27592,T,"6 8","2016-03-29 18:39:31",70
4,73,10341,10341,F,false,"2016-03-29 18:39:35",47
6,54,31915,31915,T,1,"2016-03-29 18:39:36",32
6,58,14986,14986,T,false,"2016-03-29 18:39:51",33
4,50,16909,16909,T,1,"2016-03-29 18:39:53",48
1,43,21680,21680,F,abcdefabcdefabcdef,"2016-03-29 18:39:53",71
3,78,30902,30902,T,"4 7","2016-03-29 18:39:59",27
6,48,20281,20281,F,2,"2016-03-29 18:40:12",34
1,18,28175,28175,F,false,"2016-03-29 18:40:21",72
3,115,26641,26641,T,1,"2016-03-29 18:40:26",28
4,20,33474,33474,F,"6 5","2016-03-29 18:40:27",49
1,59,11932,11932,T,true,"2016-03-29 18:40:34",73
2,88,62952,103146,F,5,"2016-03-29 18:40:35",56
4,26,8607,8607,T,5,"2016-03-29 18:40:35",50
1,97,7868,7868,T,2,"2016-03-29 18:40:42",74
3,82,24601,24601,T,"2 7","2016-03-29 18:40:51",29
1,32,15320,15320,F,7,"2016-03-29 18:40:58",75
2,37,29608,29608,F,126,"2016-03-29 18:41:05",57
4,31,29484,29484,F,5,"2016-03-29 18:41:05",51
1,85,16937,16937,F,"1 4","2016-03-29 18:41:15",76
2,112,21095,21095,T,"8 3","2016-03-29 18:41:26",58
3,46,35268,35268,F,3,"2016-03-29 18:41:27",30
2,16,9647,9647,T,"true 1","2016-03-29 18:41:36",59
3,5,10365,10365,F,false,"2016-03-29 18:41:38",31
1,117,23367,23367,F,5,"2016-03-29 18:41:39",77
4,80,36547,36547,F,"4 8","2016-03-29 18:41:42",52
6,63,90540,90540,F,"4 6","2016-03-29 18:41:43",35
2,124,10722,10722,F,0,"2016-03-29 18:41:48",60
1,66,20255,20255,F,"4 8","2016-03-29 18:41:59",78
2,32,16002,16002,T,9,"2016-03-29 18:42:04",61
6,16,21514,21514,F,true,"2016-03-29 18:42:05",36
